,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120,ma250,ma_v_250
46,20200825,000007.SZ,8.9,9.02,8.84,8.93,8.96,-0.030000000000001137,-0.3348,30785.57,27443.204,0.9965,9.03,54384.718,8.866,58780.0715,8.8017,52875.8873,8.7683,64939.11,8.483,60008.5977,,
47,20200824,000007.SZ,9.06,9.06,8.85,8.96,9.05,-0.08999999999999986,-0.9945,22569.95,20152.38,0.7305,9.033,57511.983,8.8455,58809.8785,8.8127,54435.0793,8.756,65891.3063,8.4819,61259.4279,,
48,20200821,000007.SZ,9.16,9.19,8.98,9.05,9.2,-0.14999999999999858,-1.6304,38243.5,34601.194,1.2379,9.02,60422.938,8.824,59466.2805,8.836,56987.5447,8.7393,65867.4913,8.4792,62273.0987,,
49,20200820,000007.SZ,9.07,9.43,8.96,9.2,9.07,0.129999999999999,1.4333,71163.79,65344.837,2.3034,8.978,61000.453,8.799,58999.45,8.8577,60645.1887,8.7215,65397.7497,8.4753,62689.3112,,
50,20200819,000007.SZ,9.03,9.22,8.9,9.07,9.03,0.040000000000000924,0.443,53366.0,48748.578,1.7273,8.92,59361.774,8.7665,56751.0325,8.8647,62808.7583,8.7017,64448.4457,8.4703,63237.1901,,
51,20200818,000007.SZ,9.17,9.17,8.98,9.03,9.17,-0.14000000000000057,-1.5267,41433.6,37492.044,1.3411,8.88,58026.879,8.7475,55860.833,8.8573,62591.749,8.6838,63996.5025,8.4673,64183.7467,,
52,20200817,000007.SZ,9.17,9.22,9.1,9.17,9.18,-0.009999999999999787,-0.1089,56410.27,51681.14,1.8259,8.856,64096.719,8.729,54862.9325,8.8487,63804.1007,8.6675,64522.7953,8.4643,65491.6423,,
53,20200814,000007.SZ,9.01,9.2,8.88,9.18,9.0,0.17999999999999972,2.0,84186.5,76267.503,2.7249,8.821,69534.311,8.703,53325.3185,8.8373,63838.383,8.6455,63918.6743,8.4558,65590.3609,,
54,20200813,000007.SZ,8.72,9.13,8.64,9.0,8.71,0.28999999999999915,3.3295,73799.45,66077.582,2.3887,8.763,66916.729,8.6705,50920.2935,8.8223,62653.687,8.6232,63032.0217,8.4475,65418.7027,,
55,20200812,000007.SZ,8.96,8.96,8.56,8.71,8.96,-0.25,-2.7902,71888.55,62392.689,2.3269,8.719,67816.632,8.6605,50632.8915,8.8123,61394.0387,8.6043,63424.2728,8.4406,65586.0577,,
